name,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,lh_trace,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,p_trace,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,var.mean,var.sd,w_lambda,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd
mfeat-fourier,0.01244706627904953,0.008178695837391529,3.584956441221679,1.4726575779465782e-06,0.038,0.7214369787874418,0.23007354764938867,0.0,0.038622349089140175,0.034718768067232376,3.321928094887362,0.14589066038128862,0.10352045337399217,0.0007167773171461904,0.0009834523779476115,0.005520282684969964,0.01212796094388826,11.401216482645072,0.1,0.0,0.11176989956186348,0.05890530497567272,0.797043009074108,0.08415997438098963,0.04566589766420451,26.31578947368421,0.0959872591118421,0.053104807527475296,6.6155184261905084,0.230406794841845,0.11259554101330853,0.6362908601643319,30.9899302564195,0.06997288616407896,0.03795016888764272,0.3819513794736842,0.14996471638605519,0.13203208401769737,0.06846331864492629,0.1262276590789474,0.0698719976883466,0.003192156710526316,0.002479226632292895,0.2913661099185337,0.23040676021179654,76,0,0,10,0.00631578947368421,9,2000,0.0,76,69,11.303958213342096,,5.107712527881371,0.37875922276315793,0.14835346525342397,16.40390119780613,0.0671079516668835,0.03209926657758911,2.100858788656289,0.5438839049092433,0.2488123124334294,1.6084735963029035e-06,5.295566083550239e-07,0.12739265661875,0.06888200686591843,0.005520282684969967,0.0058788737976118435,5.040807615359755e-05,237,11.20253164556962,3.412513414025078,0.004219409282700422,0.012430670570649643,329747.8291717227,829244.2848381783,0.1,0.051640620693238694,236,3.1052631578947367,0.118,12.421052631578947,8.533045499531573,3.323943661971831,2.033818701621754,10.228329809725158,3.6514857611493503,0.051776705320904795,0.07518463819580229,0.023153232622750198,0.04942344960078978,0.013157894736842105,0.027238839272684275
mfeat-karhunen,0.008036179517766463,0.00237518016893909,3.5849565906921574,1.0831206646577665e-06,0.032,0.8098470653325872,0.11446801361698118,0.0,0.036046468144852184,0.02517886417733165,3.321928094887362,0.1072004660490464,0.08336768154338596,0.5524602893457023,0.9243396345741862,6.4915886772050735,13.01380895701945,12.06035335179629,0.1,0.0,,,18.49833337249563,,,31.25,2.9604338379296875,2.05382807546251,6.631442665102352,0.1808659862193914,-0.0514900121007718,0.25343786689836234,29.175618867668103,2.182102207215,1.4923378033998846,6.893724891875,3.9036383210531334,0.05308473924664062,0.7394593795167501,0.04568855382812502,0.7425866299063965,-6.7565145228125,3.3739291081874154,0.27544202047716854,0.18086576650133496,64,0,0,10,0.000496031746031746,9,2000,28.0,64,61,12.015285701439717,,6.007493832181573,13.6502394146875,7.023282595502795,10.86103679539147,2.1526628287026788,1.3737240029177478,1.9060359245845857,-0.00427923625665644,0.1644583897068151,1.517067369877409e-06,5.363521576058539e-08,0.0462514596875,0.7426381825565573,6.491588677205074,9.75555816406087,1.2563704282949598e-05,186,9.172043010752688,2.2135877978251997,0.005376344086021506,0.015170767750170506,26000.337262737263,38869.72120967642,0.1,0.022412183800521117,185,2.890625,0.0925,13.214285714285714,10.482062124106418,3.245614035087719,2.354939351314791,8.199460916442048,2.573902228441565,0.07865150157433103,0.089568976398875,0.033042989751344086,0.04568686784475754,0.015625,0.029769505514009923
mfeat-zernike,0.02427800240672227,0.03122755552499805,3.584956726082243,1.795561255245292e-15,0.0235,0.7160985586972514,0.2557856482035986,0.0,0.05397938200340831,0.02411376993342046,3.321928094887362,0.2577673468649649,0.21297227886581258,386.5446035561373,828.0089360777957,2910.4386186554443,7370.01657264017,8.330996171658219,0.1,0.0,76.10954922235662,100.61616211231592,532.6752210221024,59.27453675011991,97.41204915429475,42.5531914893617,56.50728719276595,51.86985380620136,6.508141618303341,0.17153442572347957,0.7268303504961955,1.4168759180277448,20.23785046785179,40.98755702567891,37.670969851165694,221.22523790510638,207.45851057764443,88.63642941472713,105.16803471792882,83.48502914585106,103.68203413984314,13.034599618723405,49.82700295491813,0.3987432026662615,0.17153442572347957,47,0,0,10,0.1267345050878816,9,2000,0.0,47,40,7.990640347248165,,5.138584694530008,208.190638286383,186.03906133132602,7.218153668563029,40.125452921755205,36.45073279651477,,0.7896442267750822,0.48693065342941755,1.591106059069886e-06,2.895691464151629e-07,84.67692958992872,104.00831986604496,2910.4386186554443,3886.029216633387,0.00011890896299392039,346,14.890173410404625,8.094339870604408,0.002890173410404624,0.00955120852655138,207574670044.8338,1572144954316.6895,0.1,0.0735995520140909,345,7.340425531914893,0.1725,8.414634146341463,9.278942854000388,7.340425531914893,3.852027110297173,13.913169319826338,8.194801300010365,0.023664079664471455,0.0516343912973916,0.016024376823542946,0.042227314729318045,0.02127659574468085,0.026589967487683216
segment,0.14229980467661496,0.19094830967512447,3.1577747977228476,1.2881265312871615,0.008225108225108226,0.746032835077116,0.26259938667332244,0.0,0.14558069411346905,0.11207342663603843,2.8073549220576037,,,189.53910914311987,420.1662939332442,1184.9900527038255,2510.358067786874,3.2015162623229205,0.14285714285714282,2.997944808332385e-17,,,86.24217319696156,,,121.57894736842105,27.380688407894738,35.62624914861224,5.08824680180312,1.010604639908846,,,47.38129430860084,18.216463326710524,24.876632583199815,200.6265802631579,363.91167148839236,24.633144132657645,39.2998885363231,19.49949257894737,37.90662663499397,-4.107588421889189,14.262996773125275,0.876882917977332,0.5878884096087877,19,0,0,7,0.2222222222222222,6,2310,1.0,19,15,2.60113617563306,,3.6841821354852224,204.73416868504705,361.6810880924728,25.811325331371098,25.31471448098148,23.96635417686176,,,,0.08461444235129945,0.24005678431458097,20.994659390863525,38.59168329264506,1184.9900527038253,1511.5165138851264,0.00012186060090375333,72,10.708333333333334,3.429111082613307,0.013888888888888888,0.0352793559437967,49773.42959262959,77334.32191768331,0.14285714285714285,0.14066326884735003,71,3.736842105263158,0.030735930735930735,4.4375,2.5552234083669996,4.4375,3.61420807370024,9.79020979020979,3.5778133751255696,0.053698454531437685,0.09901224546373116,0.034891764322916664,0.08936721476760214,0.05263157894736842,0.09760032310657223
oil_spill,0.0984635962376118,0.1452076792844677,2.848414143188567,0.7736934726103989,0.052294557097118465,0.6524794343532827,,0.0,0.0132169120581329,0.07106729419583359,0.2592588744223089,,,54970993.5401527,999262437.8092957,299548282875.5558,2096828143233.8872,18.768944910558446,0.5,0.6452255047113107,,,923326.506093991,,,19.122448979591837,4460.101020408163,29327.321659693756,3.0938598344160937,0.7698588658553585,,,0.7413393987753121,2621.9254525714287,17138.98628809948,1463559.2765306123,10186705.383199131,16103.506455470133,109906.56765023358,4061.272653061225,26590.197147318515,1506.137142857143,10038.919785854907,0.013813183194781671,0.013000249064621982,49,1,0,2,0.1607142857142857,1,937,1.0,49,38,205.20982890204752,,0.42572941225397976,1462053.1393877557,10176670.772691375,0.7413393987753121,78741.02242778486,547228.9774183991,,,,0.060873348201620735,0.1658138201153723,4490.108105629462,29485.064419743845,299548282875.5557,2096816450729.2095,0.5742705877460202,35,6.485714285714286,2.441930631710089,0.02857142857142857,0.11635723936807833,1134.5777777777778,1302.3872781251443,0.5,0.020203050891044183,34,0.6938775510204082,0.03628601921024546,3.4,1.955050439815357,1.5454545454545454,0.7385489458759964,5.594202898550725,2.675151675632343,0.112028957217592,0.17434577228357506,0.1256138392857143,0.10401168278258567,0.020408163265306117,0.04807974065629783
synthetic_control,0.0540589507177247,0.040555638567842466,2.9999989313053406,5.803663949711227e-06,0.1,0.6769927105642939,0.36510584871387586,0.0,0.15810065255820838,0.06774298132442808,2.584962500721156,0.45564968657727045,0.27301578628391143,55.6640937735827,56.50556476142477,109.32034165902887,618.8679826277236,3.0699667795830714,0.16666666666666666,0.0,,,100.04228284226464,,,10.0,15.669395833333333,7.760117655741885,4.742944991356015,0.345708363230055,-0.5708726801319146,0.5960082098392693,32.29925556883329,11.591077995,5.7271524831322855,52.82164,6.449145338756662,30.09216547040833,0.748788644029861,30.034975,0.7952112636093547,7.978913906666667,7.529777998651092,0.8420164406704808,0.34570820969120963,60,0,0,6,0.43333333333333335,5,600,7.0,60,26,2.5628745311867087,,2.8248047738462665,44.84272609333333,13.220858100201237,17.334845544933707,9.751691244309711,3.803414104305423,1.4742078709806583,0.03383486492439054,0.28970936194755886,3.5879448952356275e-06,4.029997436180879e-06,30.076544106481478,0.5950707709066212,109.32034165902897,74.9906795843628,0.0007848788816695978,33,6.424242424242424,1.9369806244239873,0.0303030303030303,0.05290592828289423,715.047619047619,634.3783643722991,0.16666666666666666,0.0807449248149953,32,0.5333333333333333,0.05333333333333334,3.5555555555555554,1.810463415200036,1.28,0.5416025603090641,5.538461538461538,2.2155482044301915,0.11238402428060625,0.13423707161777274,0.11162405303030302,0.11812483329571583,0.016666666666666666,0.05513909730952028
analcatdata_authorship,0.020464255698253556,0.014589592975653787,2.8939566006532362,0.38307798019991973,0.08323424494649227,0.9360618658181407,0.02774830218451772,0.0,0.05577091822684961,0.03474280681278571,1.7874160492261657,0.14842389025036848,0.11554627164169456,5.460666436075887,13.537410787282724,50.917968485848576,174.7211759165325,6.8275440021895255,0.25,0.14439255472989965,4.390547753420648,13.163716628685128,61.45022808972294,4.016060453824013,12.316659200292655,12.014285714285714,7.1571428571428575,6.868613163578967,4.419577771859876,0.37550668236635315,2.3253142913452103,3.630128984082674,24.319674030305077,4.998479999999997,4.579578569485074,34.4,30.42758092848362,10.12524205877357,13.369742790633518,9.2,12.729743784208472,0.8285714285714286,3.4261205871120057,0.26179487801952783,0.16488523329734536,70,0,0,4,0.007867494824016562,3,841,1.0,70,68,10.054290376289828,,2.630175386465062,33.57142857142857,28.01737112732257,11.871770817138694,5.356526083946353,4.748442575873746,,1.110728918783191,0.680273120614929,0.0488234358962868,0.028408731203384656,9.431145685997171,12.958362044555528,50.91796848584856,124.96869779446949,0.0015708720217630858,32,5.5,1.270001270001905,0.03125,0.07766083632615316,333.29523809523806,238.3044955460746,0.25,0.06750771560841522,31,0.44285714285714284,0.036860879904875146,3.875,2.5319388392523003,1.3478260869565217,0.7751067757631797,4.603174603174603,1.7183983778946745,0.1368765457195767,0.11581502383801513,0.142333984375,0.08446396088182535,0.014285714285714285,0.05368668935401436
fri_c3_1000_25,0.009555429138542133,0.00871740795561104,3.1699067665414384,2.59948568812618e-06,0.025,0.4414903204218176,,0.0,0.005166987251937997,0.011569561710854836,0.9906049558738161,0.040460916651244384,0.1076112087011546,0.04046091883438548,0.10761121316648749,1.000000062056793,0.5739916936410192,29.769123214994654,0.5,0.08061017305526645,,,0.9166352411061351,,,40.0,1.6674999000000001,0.13777520435377316,4.127235466721743,0.07772304508165861,-0.9946649598550888,0.6686029731563012,0.24210286991444394,1.22654845656,0.12828438039653844,1.91729264,0.62275147900312,-1.6000000098159708e-10,1.052647456045995e-08,-0.011378559999999998,0.08193784256492335,-1.8277704399999999,0.22295234350081783,0.03327625569351166,0.07772286531001284,25,0,0,2,0.023333333333333334,1,1000,0.0,25,2,94.26032002331078,,0.19491370302615915,3.74506308,0.7912224923226359,0.24210286991444394,1.0000000310283959,1.1812516923733479e-08,1.0257883200306586,0.0643305084288222,0.31118339005594425,1.6032048064081512e-07,3.749151941505341e-07,-0.008654665666666662,0.053522149506441595,1.0000000620567928,2.362503461438716e-08,0.8050862969738408,73,6.958904109589041,1.5132595077842872,0.0136986301369863,0.03760344433526257,1810.5396825396826,1336.0762718641488,0.5,0.009686394262829457,72,2.88,0.072,8.0,4.8218253804964775,3.0,2.553769592276246,6.0137931034482754,1.9649222733303942,0.14169803404804612,0.09348831482686995,0.07528895547945205,0.062113982190849716,0.039999999999999994,0.08432245461641721
fri_c4_1000_100,0.008951994645012113,0.010501676561220077,3.169907546387145,3.9188721251878874e-06,0.1,0.521294436778256,,0.0,0.0020376363084739025,0.00596246615740072,0.9881489563064276,0.026366251866693398,0.03487722702964316,0.026366253403106155,0.03487722897013859,1.0000000583290256,0.43719042504563066,78.67483306909293,0.5,0.09050966799187804,,,1.0590590307806929,,,10.0,1.7142972549999995,0.08451335842685362,4.145496590994254,0.03989369395252076,-1.147499398508385,0.32298755057745043,0.3731508443515313,1.268005058607,0.0771774561351962,1.7998115299999997,0.34863316166850633,1.0200000000482046e-09,1.0340642576362972e-08,-0.0062526349999999994,0.05396539091361115,-1.7396180799999996,0.0848836542249413,0.012559911699318466,0.0398934749947534,100,0,0,2,0.0018181818181818182,1,1000,0.0,100,3,251.38294840553317,,0.2717478898159592,3.5394296099999996,0.4040810657601723,0.3731508443515313,1.0000000291645121,8.396084931611523e-09,1.0546308038614685,0.03142559634586271,0.17270802585474512,2.104607912821064e-07,4.571207701472474e-07,-0.005975352650000003,0.032525730474092004,1.0000000583290256,1.6792170368317765e-08,0.7282521101840408,67,7.029850746268656,1.7578408696012116,0.014925373134328361,0.04366342114916753,2060.274747474747,2410.4728352215106,0.5,0.03166149766506927,66,0.66,0.066,6.0,4.427188724235731,1.736842105263158,1.5366550286574248,6.090225563909774,2.1477918421533135,0.09634378592033616,0.09092281850086113,0.07790636660447761,0.07081431527504882,0.01,0.04389348785503682
fri_c4_1000_25,0.011256638926800658,0.028366546904217582,3.1699067665414384,2.59948568812618e-06,0.025,0.3902886913514059,,0.0,0.005049628721897196,0.011239627602983167,0.9936167534536142,0.048123792959239714,0.11948615518564482,0.048123795320545545,0.11948616080412883,1.0000000505440148,0.6431417513079487,31.355702146449506,0.5,0.06646803743153548,,,0.7753381661983302,,,40.0,1.66037766,0.1574553568343507,4.131834969414593,0.0730988072472498,-0.9760483344524625,0.6078569503113671,0.17969777306733348,1.218651624876,0.14419638376917313,1.9767236,0.6366204967721482,5.200000000726844e-10,1.0851727971758346e-08,-0.02464934,0.0884901347202425,-1.8115443600000003,0.18286976554843615,0.03168855058046034,0.07309862602396887,25,0,0,2,0.02666666666666667,1,1000,0.0,25,3,99.03318891133041,,0.152325262596793,3.78826796,0.7815764695821773,0.17969777306733348,1.0000000252720072,9.858567099898024e-09,1.0270372164765982,0.10115509543696712,0.32115581414885,0.0,0.0,-0.018654827400000004,0.05877830768850887,1.000000050544015,1.971713466737005e-08,0.847674737403207,74,7.405405405405405,1.9368023280790874,0.013513513513513513,0.03690054877389879,3218.9264069264073,4699.917052079675,0.5,0.0955549704306145,73,2.92,0.073,6.083333333333333,4.6604395682914905,3.0416666666666665,2.612331403616096,6.462585034013605,2.297324557206567,0.08753625493369926,0.08496984880384478,0.069580078125,0.07399584818297084,0.04,0.08564535112018148
