,max_depth,min_samples_split,auc_cv,auc_test,auc_cv_sc,auc_test_sc
0,2.0,1.0,0.8805182473191577,0.5,0.8781248355904776,0.5
1,2.0,3.0,0.8792059356011463,0.5,0.8805013401157605,0.5
2,2.0,5.0,0.8844374364249246,0.5,0.8836389782706602,0.5
3,2.0,7.0,0.8793234879006807,0.5,0.8809455044023069,0.5
4,2.0,9.0,0.8794599101377253,0.5,0.8797734508041917,0.5
5,2.0,11.0,0.8824696977470907,0.5,0.8829684358149297,0.5
6,2.0,13.0,0.8811312148835512,0.5,0.885249552276731,0.5
7,2.0,15.0,0.886601322280127,0.5,0.8749514854476704,0.5
8,2.0,17.0,0.8798843819301412,0.5,0.8816610960852007,0.5
9,2.0,19.0,0.8816739149378725,0.5,0.8816143854565475,0.5
10,7.0,1.0,0.9240383010052293,0.6573208722741433,0.9285202328568205,0.6458116995500174
11,7.0,3.0,0.9273779541795243,0.6434752509518865,0.9300017957795514,0.6758393907926618
12,7.0,5.0,0.9220693773572153,0.6805122879889234,0.9265993432577642,0.6758393907926618
13,7.0,7.0,0.9296039308433486,0.6666666666666666,0.9283467955718765,0.6619937694704049
14,7.0,9.0,0.9273544339466675,0.6434752509518865,0.9236228040385088,0.6434752509518865
15,7.0,11.0,0.9264701937243002,0.6596573208722741,0.9294750012012585,0.6226202838352372
16,7.0,13.0,0.9283171346688069,0.6411388023537556,0.9246732902834889,0.6573208722741433
17,7.0,15.0,0.9226206531751092,0.6596573208722741,0.9211671711952075,0.6111111111111112
18,7.0,17.0,0.9289196858973889,0.6087746625129803,0.9248367510153688,0.6596573208722741
19,7.0,19.0,0.9240808377698453,0.6781758393907926,0.9215838246276709,0.6966943579093112
20,12.0,1.0,0.9279174291603652,0.6434752509518865,0.9284400010098715,0.7337313949463482
21,12.0,3.0,0.92772938131526,0.7128764278296988,0.930064534046107,0.7175493250259606
22,12.0,5.0,0.9295390628881183,0.6966943579093112,0.9252451951698824,0.736067843544479
23,12.0,7.0,0.9278605343034615,0.6758393907926618,0.923965280780924,0.6943579093111804
24,12.0,9.0,0.9281141504985427,0.6990308065074421,0.9242104270860565,0.6388023537556248
25,12.0,11.0,0.9264822225968521,0.6781758393907926,0.9295606203868623,0.6226202838352372
26,12.0,13.0,0.9258579184105274,0.6364659051574939,0.926938049270327,0.6388023537556248
27,12.0,15.0,0.9245660647343914,0.6411388023537556,0.9232027300735659,0.6411388023537556
28,12.0,17.0,0.9264630757590935,0.6781758393907926,0.9250246278338501,0.7128764278296988
29,12.0,19.0,0.9266203958207611,0.6943579093111804,0.9242811099465011,0.6596573208722741
30,17.0,1.0,0.9312083601071441,0.7105399792315681,0.9213364305440521,0.6990308065074421
31,17.0,3.0,0.9284943019629784,0.7337313949463482,0.9266216418718782,0.736067843544479
32,17.0,5.0,0.9273458418948447,0.7499134648667359,0.9296106171699329,0.7175493250259606
33,17.0,7.0,0.9243357163042939,0.736067843544479,0.9277553529297269,0.6805122879889234
34,17.0,9.0,0.9258728384474366,0.7152128764278297,0.9262178480127113,0.7175493250259606
35,17.0,11.0,0.9263996085933549,0.6758393907926618,0.9265109795020517,0.6411388023537556
36,17.0,13.0,0.9250370231920246,0.7152128764278297,0.9271080334462922,0.6434752509518865
37,17.0,15.0,0.9246618477879336,0.6805122879889234,0.9209848079493174,0.673502942194531
38,17.0,17.0,0.9259987629074201,0.6573208722741433,0.9242422787587377,0.6411388023537556
39,17.0,19.0,0.9238775441228331,0.7313949463482173,0.9243449435978628,0.6619937694704049
40,22.0,1.0,0.9236795523011633,0.7337313949463482,0.9250116827472412,0.7522499134648668
41,22.0,3.0,0.9246073554478903,0.7175493250259606,0.9250916173336297,0.6805122879889234
42,22.0,5.0,0.9272411165921073,0.7545863620629976,0.9248774716401209,0.7313949463482173
43,22.0,7.0,0.9244717639115907,0.6966943579093112,0.9292966855854689,0.7128764278296988
44,22.0,9.0,0.9282142092176835,0.6781758393907926,0.9237615636394139,0.6573208722741433
45,22.0,11.0,0.9303482712873175,0.6781758393907926,0.925865557599731,0.6758393907926618
46,22.0,13.0,0.9244274435836104,0.6781758393907926,0.9251992948816617,0.6758393907926618
47,22.0,15.0,0.9239267753581581,0.7152128764278297,0.9232114035666381,0.6758393907926618
48,22.0,17.0,0.9208359252010988,0.6411388023537556,0.9240994226629823,0.6943579093111804
49,22.0,19.0,0.9281853220064843,0.7152128764278297,0.9249851776925903,0.6596573208722741
50,27.0,1.0,0.9267940285647038,0.7522499134648668,0.9234683751411987,0.7128764278296988
51,27.0,3.0,0.9287950644973975,0.6990308065074421,0.9188324501029825,0.7475770162686051
52,27.0,5.0,0.9263942823356374,0.6943579093111804,0.9293001712709478,0.6990308065074421
53,27.0,7.0,0.9241928439202886,0.6990308065074421,0.9254525771676197,0.6781758393907926
54,27.0,9.0,0.9268030278227741,0.7152128764278297,0.9233616463837235,0.6064382139148494
55,27.0,11.0,0.9207837783690414,0.6990308065074421,0.9238055419141462,0.6596573208722741
56,27.0,13.0,0.9264815140579813,0.6805122879889234,0.9259773438588004,0.6596573208722741
57,27.0,15.0,0.9235682302572158,0.7313949463482173,0.9260824437912856,0.6573208722741433
58,27.0,17.0,0.927146718039807,0.7175493250259606,0.9257481763268205,0.6388023537556248
59,27.0,19.0,0.9255497447224034,0.6619937694704049,0.9257411560911132,0.6364659051574939
60,32.0,1.0,0.9288598795158155,0.736067843544479,0.927667762865885,0.7337313949463482
