name,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,cat_to_num,class_conc.mean,class_conc.sd,class_ent,eq_num_attr,freq_class.mean,freq_class.sd,inst_to_attr,joint_ent.mean,joint_ent.sd,mut_inf.mean,mut_inf.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_inst,nr_num,ns_ratio,num_to_cat,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd
iris,0.20922243392447848,0.11995019623784713,2.279010448380773,0.05742641939520074,0.02666666666666667,0.0,0.27232594204286165,0.14258948387896486,1.584962500721156,1.8824081456478539,0.3333333333333333,0.0,37.5,3.0219863138519676,0.38738046925935415,0.8419866352499615,0.42517984298139233,4,0,0,3,150,4,1.7067062028890763,,9,3.7777777777777777,1.2018504251546631,0.1111111111111111,0.15051762539834182,37.46666666666667,13.142298124757328,0.3333333333333333,0.22222222222222224,8,2.0,0.05333333333333334,1.6,0.8944271909999159,2.6666666666666665,0.5773502691896258,3.0588235294117645,1.4348601079588785,0.19491705385114735,0.13300709991513865,0.2708333333333333,0.10711960313126631,0.25,0.27845186989521703
zoo,0.122833904281653,0.1573111047483372,0.7611227951505602,0.3740142077210004,0.15841584158415842,0.0,0.5931607846766233,0.304556754551463,2.390559682294039,5.102573361067016,0.14285714285714285,0.12767506756884595,6.3125,2.683181681251413,0.27027376321129876,0.4685007961931862,0.3464881332255415,16,15,0,7,101,16,0.6245923194476525,,10,4.8,2.0976176963403033,0.1,0.1221969200435623,88.03809523809524,60.738832261742,0.14285714285714285,0.053452248382484885,9,0.5625,0.0891089108910891,1.2857142857142858,0.4879500364742666,1.0,0.0,4.105263157894737,2.1316330943956574,0.13318105680701312,0.12789839346659077,0.2078125,0.17948735834469112,0.0625,0.10589291504453907
wine,0.07639227680378616,0.049798881839447265,2.3173058075119184,0.008828109443088206,0.07303370786516854,0.0,0.1527908582113731,0.07145183132247508,1.5668222768551812,3.1829061453642518,0.3333333333333333,0.06462709335856702,13.692307692307692,3.3918665456041106,0.23309370719414702,0.4922615387629892,0.23705787175437384,13,0,0,3,178,13,3.7074687438208316,,12,3.75,0.7537783614444091,0.08333333333333333,0.1265510065295304,46.13333333333333,16.228668983305347,0.3333333333333333,0.16666666666666669,11,0.8461538461538461,0.06179775280898876,2.2,1.3038404810405297,1.5714285714285714,0.7867957924694431,2.9565217391304346,1.2605287804426009,0.23891722674639074,0.17305714131305633,0.2864583333333333,0.08514832201766658,0.07692307692307693,0.12735562443601875
hayes-roth,0.03606470903270312,0.03061526247163292,1.7374254111348286,0.12976730476468012,0.025,0.0,0.07713122140287906,0.04818810643310544,1.5154656357070957,7.288488955279127,0.3333333333333333,0.12092309884109542,40.0,3.044965145464324,0.006570812309562931,0.20792590137760014,0.13438287915441416,4,0,0,3,160,4,7.3559835480987426,,25,7.56,2.5508168626278653,0.04,0.03197085261088085,1154.1968253968255,922.5932613794242,0.3333333333333333,0.24440403706431146,24,6.0,0.15,2.4,1.429840705968481,6.0,1.632993161855452,6.73469387755102,2.6439830291632735,0.08896948028320784,0.11979540816679059,0.088046875,0.14556888399583537,0.25,0.17500080700448992
fri_c3_100_50,0.0319352984987881,0.01367160128269793,2.0,0.0,0.5,0.0,0.013174845518693898,0.015653519322495674,0.9580420222262997,32.535641557463464,0.5,0.16970562748477142,2.0,2.9285960984219614,0.03683869300920295,0.029445923804337318,0.03683869300920295,50,0,0,2,100,50,66.92111578124116,,11,3.6363636363636362,0.674199862463242,0.09090909090909091,0.14808474232374821,39.33333333333333,8.2138095100061,0.5,0.06428243465332248,10,0.2,0.1,2.5,1.2909944487358056,1.1111111111111112,0.33333333333333337,2.857142857142857,1.1952286093343936,0.2580005327400437,0.08275120230510061,0.29545454545454547,0.08427498280790525,0.019999999999999997,0.07543970999373295
pwLinear,0.009696389204212825,0.008027133580823619,1.5178208436073803,0.18333295443153141,0.05,0.0,0.060242510894737464,0.1338512455403433,0.9993506898146104,16.815882568983763,0.5,0.021213203435596444,20.0,2.457742556934139,0.2853563005758472,0.059428976487851636,0.10618025879900411,10,1,0,2,200,10,24.54008050126272,,36,5.833333333333333,1.4040757000349275,0.027777777777777776,0.04359627186623784,477.77777777777777,443.36416485293097,0.5,0.0,35,3.5,0.175,3.888888888888889,3.018461712712472,3.5,1.7159383568311668,4.929577464788732,1.823058212862362,0.11796387888131221,0.11763217761986622,0.12532552083333334,0.09119531235658296,0.1,0.12269862653476675
fri_c2_100_5,0.08949327522701063,0.10638131089376339,2.0,0.0,0.05,0.0,0.042888860792589405,0.04093505711042522,0.9709505944546688,9.534318002345008,0.5,0.14142135623730948,20.0,2.869113148481516,0.10043795669680859,0.10183744597315289,0.10043795669680859,5,0,0,2,100,5,18.639141387415137,,16,4.875,1.8211717839530315,0.0625,0.106426813663976,153.0857142857143,156.23581595121217,0.5,0.0,15,3.0,0.15,1.875,0.8345229603962802,3.0,2.0,4.064516129032258,2.0483405294850714,0.11862571524448781,0.11493612369233244,0.20849609375,0.1429415317328754,0.20000000000000004,0.18371950168588774
visualizing_environmental,0.1290657292641133,0.08868671095568907,1.9981127915175714,0.0021951444620750588,0.02702702702702703,0.0,0.04350452099907356,0.0289619624432175,0.9985358500505678,10.10051262101928,0.5,0.03185165681020483,37.0,2.8977887235108515,0.0705646958814969,0.09885991805728785,0.0684241580199895,3,0,0,2,111,3,19.211556217957767,,34,7.205882352941177,2.8791771948028977,0.029411764705882353,0.03416583130832972,2638.5212565212564,5267.578495786654,0.5,0.04159451654038516,33,11.0,0.2972972972972973,2.5384615384615383,1.2659242088545835,11.0,2.0,6.3283582089552235,3.0470455621176695,0.07110892441517798,0.09514231373409346,0.1080465877757353,0.12900862036314617,0.3333333333333333,0.15165344930723498
wisconsin,0.05411247396200058,0.07502873059208183,2.3062917101397815,0.08090570633440335,0.16494845360824742,0.0,0.008079431675659903,0.005074675300694931,0.9962401135461777,42.30331475483352,0.5,0.051028324415524025,6.0625,3.2789818933951573,0.07938693194671098,0.023549930290801824,0.015015070913117785,32,0,0,2,194,32,96.93199732062806,,35,6.285714285714286,2.0661334814152763,0.02857142857142857,0.0381939357745459,855.7968253968253,1092.944456815241,0.5,0.060609152673132625,34,1.0625,0.17525773195876287,3.4,1.776388345929897,1.7,0.8013147091860319,5.391304347826087,2.346570659897669,0.10459767275851237,0.11004474945245647,0.12176339285714285,0.10774094373442744,0.03125,0.03397319344970829
fri_c0_100_5,0.024959945335453218,0.009571262521306263,2.0,0.0,0.05,0.0,0.04197528081270422,0.022653925935780143,0.9953784388202258,10.501098261202259,0.5,0.05656854249492382,20.0,2.90059040674383,0.053076879143034855,0.094788032076396,0.053076879143034855,5,0,0,2,100,5,20.09971012361631,,17,5.176470588235294,2.1282414723677108,0.058823529411764705,0.088803318697922,234.86349206349206,303.4776447727166,0.5,0.04159451654038516,16,3.2,0.16,1.7777777777777777,0.8333333333333334,4.0,2.0,4.363636363636363,2.3159525823376357,0.10380013426920204,0.11435566666089308,0.19646139705882354,0.14694922795180423,0.19999999999999998,0.13000331073360835
