name,knn,tree,bayes,best
iris,1.0,1.0,1.0,knn
zoo,0.6538461538461539,0.9230769230769231,0.9615384615384616,bayes
wine,0.7111111111111111,0.9555555555555556,1.0,bayes
hayes-roth,0.45,0.85,0.75,tree
fri_c3_100_50,0.44,0.64,0.52,tree
pwLinear,0.78,0.84,0.76,tree
fri_c2_100_5,0.68,0.64,0.72,bayes
visualizing_environmental,0.6785714285714286,0.75,0.6785714285714286,tree
wisconsin,0.6122448979591837,0.42857142857142855,0.6122448979591837,knn
fri_c0_100_5,0.68,0.84,0.88,bayes
autoPrice,0.975,0.95,0.925,knn
fri_c2_100_10,0.84,0.76,0.76,knn
fri_c3_100_25,0.6,0.76,0.52,tree
fri_c2_100_25,0.64,0.76,0.72,tree
fri_c3_100_10,0.64,0.8,0.6,tree
triazines,0.7446808510638298,0.7021276595744681,0.5106382978723404,knn
fri_c1_100_10,0.64,0.64,0.88,bayes
fri_c0_100_10,0.72,0.64,0.88,bayes
fri_c1_100_25,0.8,0.8,0.68,knn
fri_c1_100_5,0.8,0.8,0.76,knn
fri_c0_100_50,0.6,0.56,0.76,bayes
fri_c4_100_25,0.72,0.8,0.64,tree
fri_c1_100_50,0.48,0.56,0.48,tree
fri_c4_100_10,0.6,0.64,0.64,tree
transplant,1.0,1.0,1.0,knn
fri_c0_100_25,0.72,0.76,0.8,bayes
fri_c3_100_5,0.68,0.68,0.48,knn
fri_c2_100_50,0.56,0.64,0.68,bayes
fri_c4_100_50,0.68,0.8,0.52,tree
kc1-top5,0.9459459459459459,0.918918918918919,0.9459459459459459,knn
kc1-binary,0.7567567567567568,0.7567567567567568,0.7297297297297297,knn
datatrieve,0.9393939393939394,0.8787878787878788,0.8181818181818182,knn
MyIris,1.0,1.0,1.0,knn
KungChi3,0.8064516129032258,0.8387096774193549,0.8387096774193549,tree
KnuggetChase3,0.7755102040816326,0.7755102040816326,0.7142857142857143,knn
MindCave2,0.90625,0.6875,0.875,knn
breast-tissue,0.37037037037037035,0.37037037037037035,0.48148148148148145,bayes
fertility,0.88,0.88,0.92,bayes
parkinsons,0.8571428571428571,0.8775510204081632,0.7346938775510204,tree
planning-relax,0.717391304347826,0.5434782608695652,0.7608695652173914,bayes
heart-long-beach,0.2,0.3,0.18,tree
heart-switzerland,0.22580645161290322,0.2903225806451613,0.06451612903225806,tree
robot-failures-lp4,0.7,0.8333333333333334,0.9666666666666667,bayes
robot-failures-lp5,0.4878048780487805,0.5609756097560976,0.5853658536585366,bayes
Smartphone-Based_Recognition_of_Human_Activities,0.9555555555555556,0.9777777777777777,0.9333333333333333,tree
iris_test_upload,1.0,1.0,1.0,knn
TuningSVMs,0.6153846153846154,0.6410256410256411,0.6153846153846154,tree
JuanFeldmanIris,1.0,1.0,1.0,knn
iris-example,1.0,1.0,1.0,knn
iriiiiiis,1.0,1.0,1.0,knn
iris_reproduced,1.0,1.0,1.0,knn
Iris,1.0,1.0,1.0,knn
